Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
Good Times Bad Times - 1993 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0382,0.476,166267,0.717,7.61e-05,9,0.0818,-9.192,1,0.0949,93.584,4,train
Ramble On - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.072,0.468,263333,0.607,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,train
Rock and Roll - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.000582,0.317,220561,0.887,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,train
Kashmir - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.452,0.483,517125,0.615,0.000414,2,0.0512,-8.538,1,0.0497,80.576,3,train
Over the Hills and Far Away - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0679,0.402,290934,0.691,0.133,7,0.0955,-10.274,1,0.0691,96.95,4,train
"Hey, Hey, What Can I Do - Remaster",Led Zeppelin,1982,"['album rock', 'classic rock', 'hard rock', 'rock']",0.166,0.468,236760,0.858,0.000304,1,0.0807,-9.639,1,0.0543,77.987,4,train
Tangerine - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0857,0.306,191828,0.398,6.02e-05,6,0.0756,-12.767,1,0.0412,85.622,4,train
D'yer Mak'er - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.262,0.525,262748,0.929,2.9e-05,9,0.0754,-8.56,0,0.0784,163.503,4,train
Fool in the Rain - Remaster,Led Zeppelin,1979,"['album rock', 'classic rock', 'hard rock', 'rock']",0.124,0.52,370920,0.912,0.00151,0,0.239,-7.512,1,0.0487,131.403,4,train
Dazed and Confused - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.044,0.271,386373,0.553,0.0096,2,0.0999,-9.526,1,0.0472,86.762,3,train
When the Levee Breaks - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.00217,0.271,428851,0.766,0.52,5,0.0707,-8.03,1,0.0329,142.914,4,train
Heartbreaker - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0746,0.403,254133,0.709,0.494,9,0.132,-9.366,1,0.0885,97.161,4,train
Stairway to Heaven - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,train
Communication Breakdown - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0572,0.399,147933,0.946,6.77e-06,2,0.73,-6.998,1,0.164,175.009,4,train
Since I've Been Loving You - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0021,0.393,444148,0.364,0.0703,5,0.121,-10.945,0,0.0345,118.566,3,train
Babe I'm Gonna Leave You - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.246,0.404,401067,0.435,0.00074,4,0.156,-12.045,0,0.0323,136.058,4,train
All My Love - Remaster,Led Zeppelin,1979,"['album rock', 'classic rock', 'hard rock', 'rock']",0.113,0.554,353720,0.791,1.76e-05,7,0.166,-8.326,1,0.0288,91.108,4,train
I Can't Quit You Baby - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.525,0.506,282427,0.434,0.0011,2,0.234,-13.758,1,0.129,80.523,3,train
The Ocean - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.08,0.401,271397,0.56,0.0121,9,0.361,-8.7,1,0.0612,88.256,4,train
Living Loving Maid (She's Just a Woman) - Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.000942,0.475,159301,0.808,7.97e-06,9,0.146,-8.859,1,0.037,152.098,4,train
The Rain Song - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.317,0.336,459094,0.318,0.0716,0,0.111,-11.412,1,0.0263,79.66,4,train
Ten Years Gone - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.559,0.545,394921,0.416,0.00496,2,0.0369,-11.979,1,0.0433,76.872,4,train
No Quarter - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.734,0.33,422518,0.342,0.671,11,0.129,-14.09,1,0.0404,142.95,4,train
Houses of the Holy - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.167,0.632,244686,0.849,0.0389,9,0.571,-8.282,1,0.0351,123.092,4,train
Misty Mountain Hop - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.379,0.47,278907,0.806,0.0624,2,0.86,-7.165,1,0.0369,132.359,4,train
What Is and What Should Never Be - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.275,0.34,283973,0.472,0.0,9,0.0843,-12.939,1,0.0473,78.086,4,train
Bron-Y-Aur Stomp - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.16,0.525,257346,0.501,0.025,1,0.146,-14.192,1,0.0318,108.291,4,train
That's the Way - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.673,0.245,337110,0.328,0.0,6,0.138,-11.553,1,0.0377,86.926,4,train
D'yer Mak'er - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.262,0.525,262748,0.929,2.9e-05,9,0.0754,-8.56,0,0.0784,163.503,4,train
Thank You - 1990 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.171,0.316,289467,0.27,0.00225,7,0.165,-14.429,1,0.059,78.476,4,train
Gallows Pole - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.125,0.399,297929,0.845,0.00109,2,0.334,-8.736,1,0.0369,105.911,4,train
The Song Remains the Same - Remaster,Led Zeppelin,1973,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0747,0.255,329094,0.815,0.471,7,0.227,-8.197,1,0.0545,144.549,4,train
Bring It on Home - Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.479,0.345,259741,0.461,0.0184,9,0.0993,-12.063,1,0.0645,96.346,4,train
Trampled Under Foot - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.239,0.561,336836,0.842,0.412,2,0.0768,-7.518,0,0.0566,111.209,4,train
Travelling Riverside Blues (BBC Session) - Remastered,Led Zeppelin,1982,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0745,0.467,311640,0.835,0.000184,7,0.26,-7.084,1,0.0642,91.603,4,train
The Battle of Evermore - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.656,0.42,351678,0.662,0.000423,4,0.096,-9.828,0,0.0341,147.949,4,train
Going to California - Remaster,Led Zeppelin,1971,"['album rock', 'classic rock', 'hard rock', 'rock']",0.943,0.503,212161,0.265,0.045,2,0.0867,-15.913,1,0.0333,78.044,4,train
Immigrant Song - Remaster,Led Zeppelin,2007,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0119,0.567,146747,0.931,0.159,11,0.342,-10.361,1,0.0544,112.948,4,train
The Rover - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0123,0.618,339475,0.769,0.00829,9,0.23,-8.012,1,0.0248,102.678,4,train
Your Time Is Gonna Come - Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.351,0.328,274694,0.575,0.000556,7,0.688,-10.437,1,0.0439,149.645,4,train
Nobody's Fault but Mine - Remaster,Led Zeppelin,1976,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0502,0.235,388093,0.767,0.145,9,0.21,-9.435,1,0.0879,188.904,4,train
Custard Pie - Remaster,Led Zeppelin,1975,"['album rock', 'classic rock', 'hard rock', 'rock']",0.498,0.453,255702,0.738,0.00488,9,0.0526,-8.16,1,0.0347,182.233,4,train
Achilles Last Stand - Remaster,Led Zeppelin,1976,"['album rock', 'classic rock', 'hard rock', 'rock']",0.0205,0.321,631720,0.865,0.00756,2,0.108,-8.796,1,0.0496,145.919,4,train
Out on the Tiles - Remaster,Led Zeppelin,1970,"['album rock', 'classic rock', 'hard rock', 'rock']",0.083,0.418,247345,0.962,0.00282,4,0.138,-8.423,1,0.0567,94.141,4,train
How Many More Times - 1993 Remaster,Led Zeppelin,1969,"['album rock', 'classic rock', 'hard rock', 'rock']",0.114,0.322,508000,0.68,0.0245,9,0.434,-11.349,1,0.061,142.748,4,train
Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
Sweet Home Alabama,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.181,0.596,283800,0.605,0.000331,7,0.0863,-12.145,1,0.0255,97.798,4,train
Free Bird,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0738,0.249,547107,0.834,9.48e-05,0,0.0924,-8.21,1,0.0577,118.223,4,train
Simple Man,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0366,0.422,356627,0.752,0.000119,6,0.129,-8.682,1,0.0449,120.471,4,train
Gimme Three Steps,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.698,0.554,267173,0.74,6.9e-05,9,0.225,-7.706,1,0.0803,133.363,4,train
Call Me The Breeze,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00434,0.271,309773,0.642,0.0781,2,0.118,-10.475,1,0.0384,186.366,4,train
Tuesday's Gone,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0778,0.232,450227,0.615,5.68e-06,9,0.0601,-8.636,1,0.0295,146.488,3,train
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.312,0.432,291736,0.425,3.19e-06,9,0.105,-12.165,1,0.0918,144.821,4,train
Gimme Back My Bullets,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.313,0.428,209800,0.682,1.34e-05,1,0.116,-10.862,1,0.0441,168.58,4,train
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.119,0.622,206800,0.559,7.94e-05,7,0.132,-10.562,1,0.0413,129.836,4,train
That Smell,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0134,0.455,348240,0.573,0.0304,9,0.428,-11.301,0,0.0355,117.252,4,train
I Know A Little,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0818,0.384,207973,0.575,0.00387,2,0.161,-11.808,1,0.0635,196.495,4,train
What's Your Name,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.602,0.646,213267,0.574,4.19e-05,7,0.135,-9.352,1,0.0285,135.175,4,train
Saturday Night Special,Lynyrd Skynyrd,1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0146,0.558,309667,0.563,0.000195,9,0.273,-11.259,1,0.0543,120.99,4,train
The Needle And The Spoon,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.283,0.53,233600,0.614,0.0281,7,0.53,-11.556,1,0.0408,115.329,4,train
On The Hunt,Lynyrd Skynyrd,1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.287,0.599,328467,0.598,2.44e-05,9,0.174,-11.786,1,0.0408,124.357,4,train
I Need You,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0364,0.45,415600,0.341,0.000284,7,0.0405,-14.218,1,0.0327,118.782,4,train
Double Trouble,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.252,0.658,170600,0.791,0.0,2,0.23,-9.669,1,0.0347,95.776,4,train
I Ain't The One,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0627,0.492,233173,0.83,0.000347,7,0.171,-7.058,1,0.0942,93.279,4,train
Free Bird,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0119,0.279,558933,0.852,0.076,7,0.0624,-7.838,1,0.0511,117.418,4,train
Simple Man,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00079,0.461,357933,0.734,0.00554,1,0.22,-9.379,1,0.0374,120.55,4,train
All I Can Do Is Write About It,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.385,0.458,256533,0.355,2.99e-05,7,0.413,-13.198,1,0.0313,75.728,4,train
Swamp Music,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.046,0.399,211093,0.781,0.0552,9,0.105,-12.421,1,0.0925,186.72,4,train
Poison Whiskey,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.089,0.409,193333,0.85,0.000415,0,0.288,-7.126,1,0.0417,168.066,4,train
Down South Jukin',Lynyrd Skynyrd,2008,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.566,0.619,132573,0.761,1.11e-06,8,0.335,-8.289,1,0.0446,131.404,4,train
You Got That Right,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0244,0.537,227293,0.702,0.0505,0,0.21,-10.973,1,0.033,146.208,4,train
Searching,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0643,0.595,197640,0.691,0.00364,9,0.319,-8.955,1,0.0294,115.326,4,train
Georgia Peaches,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.29,0.714,195533,0.458,0.00112,0,0.0512,-11.882,1,0.027,99.446,4,train
Workin' For MCA,Lynyrd Skynyrd,1974,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.000883,0.276,289360,0.837,0.00197,9,0.202,-11.369,1,0.0554,169.67,4,train
Sweet Home Alabama - Edit,Lynyrd Skynyrd,2003,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.221,0.63,220693,0.655,0.00124,7,0.114,-9.725,1,0.0241,97.817,4,train
Whiskey Rock-A-Roller,"Lynyrd Skynyrd, Al Kooper",1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.526,0.626,255333,0.59,0.000123,7,0.0812,-10.545,1,0.0462,131.836,4,train
Cry For The Bad Man,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.044,0.62,289133,0.688,0.0097,7,0.112,-9.09,1,0.0539,122.986,4,train
Things Goin' On,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.409,0.394,299733,0.624,0.000238,4,0.203,-8.99,1,0.0507,183.051,4,train
Tuesday's Gone,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00618,0.258,452333,0.663,0.00228,9,0.0437,-8.25,1,0.0288,145.894,3,train
Gimme Three Steps,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.296,0.644,270293,0.823,0.00115,9,0.126,-8.092,1,0.0578,133.39,4,train
(I Got The) Same Old Blues,Lynyrd Skynyrd,1976,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0988,0.541,248867,0.67,0.156,7,0.299,-10.914,1,0.0323,165.22,4,train
Free Bird - TOTEM Remix,"Lynyrd Skynyrd, TOTEM",2022,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.27,0.177,166500,0.792,0.184,7,0.0999,-6.619,1,0.102,149.352,4,train
Mississippi Kid,Lynyrd Skynyrd,1973,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.625,0.745,236067,0.477,2.75e-06,9,0.336,-10.87,1,0.0389,95.449,4,train
One More Time,Lynyrd Skynyrd,1977,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0499,0.323,303627,0.55,0.000299,7,0.188,-11.949,1,0.0291,174.685,3,train
Low Down Dirty,Lynyrd Skynyrd,2012,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",4.54e-05,0.489,194493,0.934,0.129,8,0.29,-4.355,1,0.0402,94.007,4,train
Cheatin' Woman,"Lynyrd Skynyrd, Al Kooper",1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.571,0.434,279867,0.424,0.000533,9,0.144,-11.126,1,0.0351,141.266,4,train
Am I Losin',Lynyrd Skynyrd,1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.351,0.556,275507,0.523,5.04e-05,7,0.168,-10.407,1,0.0268,85.266,4,train
Railroad Song,"Lynyrd Skynyrd, Al Kooper",1975,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.176,0.588,255267,0.791,0.111,7,0.113,-9.68,1,0.0442,150.225,4,train
Free Bird - Extended Music Version,Lynyrd Skynyrd,1989,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0437,0.175,607373,0.816,0.00043,7,0.154,-13.001,1,0.0734,149.983,4,train
Red White & Blue,Lynyrd Skynyrd,2023,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.129,0.474,332987,0.72,7.4e-05,1,0.135,-6.059,1,0.0345,135.111,4,train
Simple Man,Lynyrd Skynyrd,2000,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00201,0.44,356573,0.76,0.00186,1,0.218,-8.796,1,0.0457,120.471,4,train
Free Bird - Edit,Lynyrd Skynyrd,2021,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00853,0.176,259840,0.787,0.00142,0,0.387,-9.4,1,0.0542,148.369,4,train
Four Walls Of Raiford,Lynyrd Skynyrd,1987,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.926,0.62,242667,0.16,0.000238,4,0.0951,-18.63,1,0.0363,80.955,4,train
Sweet Home Alabama,Lynyrd Skynyrd,2000,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.21,0.606,283333,0.662,0.000301,7,0.323,-10.443,1,0.0242,97.828,4,train
Still Unbroken,Lynyrd Skynyrd,2009,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.0011,0.302,308667,0.896,0.00116,6,0.197,-5.3,1,0.0755,177.678,4,train
God & Guns,Lynyrd Skynyrd,2009,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.00696,0.244,344747,0.643,0.00963,6,0.0933,-6.497,1,0.0427,79.034,4,train
Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
Can't Help Falling in Love,Elvis Presley,1961,"['rock-and-roll', 'rockabilly']",0.941,0.396,182360,0.293,0.000196,2,0.105,-14.062,1,0.0275,100.307,3,train
Burning Love,Elvis Presley,1973,"['rock-and-roll', 'rockabilly']",0.0993,0.66,170293,0.748,0.00585,2,0.283,-11.206,1,0.0284,143.549,4,train
Suspicious Minds,Elvis Presley,1969,"['rock-and-roll', 'rockabilly']",0.0422,0.487,261280,0.382,4.74e-06,7,0.411,-10.889,1,0.0309,116.557,4,train
Jailhouse Rock,Elvis Presley,1997,"['rock-and-roll', 'rockabilly']",0.332,0.623,146933,0.537,1.4e-05,10,0.0963,-10.014,0,0.0726,166.885,4,train
Always On My Mind,Elvis Presley,1973,"['rock-and-roll', 'rockabilly']",0.746,0.358,218440,0.387,0.0121,7,0.119,-14.342,1,0.0324,181.183,4,train
Jailhouse Rock,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.41,0.647,146480,0.582,1.93e-06,10,0.0715,-9.538,0,0.0755,167.396,4,train
Blue Suede Shoes,Elvis Presley,1956,"['rock-and-roll', 'rockabilly']",0.654,0.557,119200,0.66,1.66e-06,2,0.138,-7.706,1,0.056,95.252,4,train
Hound Dog,Elvis Presley,2022,"['rock-and-roll', 'rockabilly']",0.623,0.343,133293,0.884,0.000623,5,0.497,-4.123,0,0.128,177.751,4,train
Hound Dog,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.733,0.494,136027,0.756,0.00505,0,0.76,-8.492,1,0.0499,86.895,4,train
In the Ghetto,Elvis Presley,1969,"['rock-and-roll', 'rockabilly']",0.716,0.404,167413,0.266,0.133,10,0.107,-16.688,1,0.0334,88.916,4,train
(You're The) Devil in Disguise,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.575,0.481,140427,0.733,1.18e-05,5,0.108,-7.633,1,0.165,122.909,4,train
A Little Less Conversation - JXL Radio Edit Remix,"Elvis Presley, JXL",2022,"['rock-and-roll', 'rockabilly']",0.000154,0.59,213240,0.976,0.293,11,0.155,-4.866,0,0.0488,114.996,4,train
Heartbreak Hotel,Elvis Presley,2022,"['rock-and-roll', 'rockabilly']",0.843,0.695,127960,0.295,1.58e-06,9,0.0856,-8.672,1,0.0609,93.574,4,train
The Wonder of You,Elvis Presley,2007,"['rock-and-roll', 'rockabilly']",0.286,0.448,153200,0.691,0.00111,7,0.945,-6.957,1,0.0286,88.836,4,train
(You're The) Devil in Disguise,Elvis Presley,2022,"['rock-and-roll', 'rockabilly']",0.573,0.481,140427,0.733,1.17e-05,5,0.108,-7.633,1,0.165,122.903,4,train
All Shook Up,Elvis Presley,1997,"['rock-and-roll', 'rockabilly']",0.89,0.688,117360,0.468,0.000134,10,0.177,-12.503,1,0.15,74.832,4,train
Don't Be Cruel,Elvis Presley,1997,"['rock-and-roll', 'rockabilly']",0.78,0.678,121960,0.494,0.0,2,0.0737,-12.941,1,0.17,84.398,4,train
Love Me,Elvis Presley,1956,"['rock-and-roll', 'rockabilly']",0.952,0.505,163787,0.11,0.0,5,0.125,-12.936,1,0.0317,72.115,4,train
"Return to Sender - From ""Girls! Girls! Girls!""",Elvis Presley,1962,"['rock-and-roll', 'rockabilly']",0.628,0.845,126693,0.563,0.0,8,0.0614,-9.488,1,0.0439,130.335,4,train
If I Can Dream,Elvis Presley,2022,"['rock-and-roll', 'rockabilly']",0.00708,0.325,191840,0.715,2.79e-05,7,0.0987,-7.744,1,0.0368,93.914,3,train
If I Can Dream - Live from the '68 Comeback Special,Elvis Presley,1968,"['rock-and-roll', 'rockabilly']",0.0822,0.346,200058,0.62,0.00393,7,0.599,-9.247,1,0.0432,93.932,3,train
That's All Right,Elvis Presley,1959,"['rock-and-roll', 'rockabilly']",0.808,0.655,115280,0.405,1.33e-06,2,0.116,-9.825,1,0.036,105.272,4,train
A Little Less Conversation,Elvis Presley,2007,"['rock-and-roll', 'rockabilly']",0.149,0.584,132013,0.802,0.0,2,0.0683,-8.03,1,0.0784,114.172,4,train
Viva Las Vegas,Elvis Presley,1968,"['rock-and-roll', 'rockabilly']",0.819,0.608,144840,0.567,0.0,7,0.344,-11.297,1,0.0445,144.034,4,train
"Unchained Melody - Live at Ann Arbor, MI",Elvis Presley,1977,"['rock-and-roll', 'rockabilly']",0.845,0.271,151907,0.266,0.00174,0,0.795,-13.703,1,0.0348,79.079,3,train
Don't Be Cruel,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.772,0.68,122867,0.675,0.0,2,0.069,-7.998,1,0.191,84.967,4,train
Heartbreak Hotel,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.84,0.696,127560,0.21,1.62e-06,4,0.107,-11.922,1,0.067,93.543,4,train
Blue Christmas,Elvis Presley,1957,"['rock-and-roll', 'rockabilly']",0.9,0.465,129173,0.27,0.00104,4,0.145,-16.661,1,0.0425,94.518,4,train
Suspicious Minds,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.0516,0.542,272360,0.722,1.18e-05,7,0.131,-5.065,1,0.0262,115.21,4,train
Burning Love - with The Royal Philharmonic Orchestra,"Elvis Presley, Royal Philharmonic Orchestra",2015,"['rock-and-roll', 'rockabilly']",0.0343,0.547,209760,0.936,7.69e-05,2,0.107,-4.997,1,0.0415,142.995,4,train
All Shook Up,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.881,0.624,117080,0.468,6.35e-06,10,0.144,-12.162,1,0.132,74.139,4,train
Can't Help Falling In Love,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.893,0.438,177840,0.325,5e-06,2,0.107,-11.066,1,0.0268,101.577,3,train
"Unchained Melody (Bonus Track) - Live at Ann Arbor, MI",Elvis Presley,2022,"['rock-and-roll', 'rockabilly']",0.846,0.214,151907,0.266,0.00171,0,0.795,-13.703,1,0.0359,82.096,4,train
Love Me Tender,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.881,0.439,162067,0.0529,0.0,9,0.106,-16.253,1,0.039,109.382,3,train
Promised Land,Elvis Presley,1975,"['rock-and-roll', 'rockabilly']",0.28,0.481,173787,0.915,0.819,9,0.538,-10.446,1,0.0419,192.525,4,train
Moody Blue,Elvis Presley,1977,"['rock-and-roll', 'rockabilly']",0.674,0.643,169320,0.729,7.99e-06,0,0.173,-10.231,1,0.0297,135.29,4,train
Don't Be Cruel,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.856,0.697,122893,0.55,3.44e-05,2,0.0907,-11.496,1,0.179,84.802,4,train
A Little Less Conversation - JXL Radio Edit Remix,"Elvis Presley, Junkie XL",2002,"['rock-and-roll', 'rockabilly']",0.000154,0.59,213240,0.976,0.293,11,0.155,-4.866,0,0.0488,114.996,4,train
Are You Lonesome Tonight?,Elvis Presley,1997,"['rock-and-roll', 'rockabilly']",0.92,0.433,186667,0.0748,0.00104,0,0.105,-19.351,1,0.049,73.093,3,train
I Got Lucky,Elvis Presley,1971,"['rock-and-roll', 'rockabilly']",0.838,0.731,115720,0.386,0.0,0,0.195,-12.331,1,0.0444,92.867,4,train
Crying In the Chapel,Elvis Presley,2002,"['rock-and-roll', 'rockabilly']",0.94,0.404,143267,0.246,3e-05,11,0.297,-13.812,1,0.041,71.274,4,train
Kentucky Rain,Elvis Presley,1969,"['rock-and-roll', 'rockabilly']",0.427,0.411,195720,0.374,1.01e-05,0,0.154,-14.028,1,0.0282,105.265,4,train
Trouble,Elvis Presley,1958,"['rock-and-roll', 'rockabilly']",0.873,0.42,136547,0.371,0.0,0,0.294,-10.952,1,0.315,85.539,4,train
Rubberneckin',Elvis Presley,1970,"['rock-and-roll', 'rockabilly']",0.231,0.623,133813,0.613,0.0,10,0.12,-10.099,1,0.0698,144.334,4,train
